latency,fs,buffer
32,192000,32
17.4,192000,32
17.8,192000,32
19.6,192000,32
17.2,192000,32
18.6,192000,32
17.8,192000,32
19.6,192000,32
18.8,192000,32
18.2,192000,32
18.8,192000,32
18.6,192000,32
17.3,192000,32
18.9,192000,32
18.9,192000,32
18.9,192000,32
19.1,192000,32
19.4,192000,32
19.7,192000,32
18.8,192000,32
19.1,192000,32
17.9,192000,32
18.9,192000,32
17.1,192000,32
18.8,192000,32
17.4,192000,32
19.5,192000,32
19.8,192000,32
19.3,192000,32
18,192000,32
18.9,192000,32
17.9,192000,32
19.9,192000,32
18,192000,32
18.7,192000,32
19.1,192000,32
17.7,192000,32
17.6,192000,32
19.4,192000,32
17.8,192000,32
17.6,192000,32
17.6,192000,32
18,192000,32
19.2,192000,32
17.4,192000,32
18.5,192000,32
17.5,192000,32
18.8,192000,32
19.5,192000,32
17.9,192000,32
19.1,192000,32
18.7,192000,32
19.1,192000,32
19,192000,32
17.8,192000,32
17.7,192000,32
17.4,192000,32
18,192000,32
17.7,192000,32
17.5,192000,32
20.1,192000,32
20,192000,32
17.5,192000,32
19,192000,32
17.5,192000,32
19.1,192000,32
19.3,192000,32
17.3,192000,32
19.3,192000,32
18.3,192000,32
18.7,192000,32
17.1,192000,32
17.6,192000,32
19,192000,32
18,192000,32
19.8,192000,32
18,192000,32
18.9,192000,32
19,192000,32
19,192000,32
19.3,192000,32
18.3,192000,32
22,192000,32
19.6,192000,32
17.4,192000,32
18,192000,32
18.8,192000,32
17.2,192000,32
18.2,192000,32
16.6,192000,32
18.6,192000,32
17,192000,32
17.6,192000,32
17.4,192000,32
18.2,192000,32
17.2,192000,32
17,192000,32
18.6,192000,32
18,192000,32
17,192000,32
17.4,192000,32
18,192000,32
17,192000,32
17.2,192000,32
18.6,192000,32
17.8,192000,32
19.8,192000,32
17.8,192000,32
18.2,192000,32
18.4,192000,32
17.6,192000,32
18.8,192000,32
17.4,192000,32
17.2,192000,32
18.4,192000,32
17.8,192000,32
18,192000,32
18.4,192000,32
17.2,192000,32
19.8,192000,32
18.6,192000,32
19.2,192000,32
19.2,192000,32
18.8,192000,32
19,192000,32
18.4,192000,32
18.4,192000,32
17.6,192000,32
17.4,192000,32
18,192000,32
18.4,192000,32
17.4,192000,32
18.4,192000,32
17.8,192000,32
18.2,192000,32
17.4,192000,32
17.6,192000,32
19,192000,32
17.8,192000,32
17.6,192000,32
17.8,192000,32
17.6,192000,32
19,192000,32
18.6,192000,32
19.6,192000,32
18.4,192000,32
18.4,192000,32
19,192000,32
18.8,192000,32
16.6,192000,32
18.8,192000,32
19.2,192000,32
18.6,192000,32
16.8,192000,32
19.4,192000,32
16.8,192000,32
18.8,192000,32
18,192000,32
18.2,192000,32
18,192000,32
17.6,192000,32
18.8,192000,32
17.4,192000,32
19.6,192000,32
17.6,192000,32
17.4,192000,32
17.4,192000,32
16.6,192000,32
20.2,192000,32
16.8,192000,32
19.4,192000,32
20,192000,32
18.2,192000,32
19,192000,32
19.2,192000,32
18.2,192000,32
19.2,192000,32
17.8,192000,32
18.6,192000,32
18,192000,32
19.6,192000,32
18.4,192000,32
23.6,192000,32
18,192000,32
17.4,192000,32
19.2,192000,32
17.8,192000,32
17.6,192000,32
19.6,192000,32
18.6,192000,32
18.4,192000,32
19,192000,32
17.6,192000,32
18.6,192000,32
17.6,192000,32
17.8,192000,32
17.4,192000,32
18.8,192000,32
19,192000,32
17.2,192000,32
